,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Acmsd,37.55373146940732,0.3145392787541381,0.545171773701885,0.5769544461524835,0.5639702289743034,0.9998350115734302
Nup62,3764.5911952874703,0.05276537941652301,0.08094873779847264,0.6518369631393882,0.5145063537588043,0.9998350115734302
Glmp,4767.492920935743,0.06528282926823953,0.07703493229211117,0.8474444946701781,0.3967474126292255,0.9998350115734302
Stac3,64.19792672125858,0.0497623594833097,0.5006172080478394,0.09940201551872017,0.9208190825387668,0.9998350115734302
Trp53bp2,3800.927708149417,0.026045285601960982,0.0971653813651549,0.2680510819391612,0.7886599992248805,0.9998350115734302
Tm6sf2,29.07764495055487,0.14576758400882733,0.7273058044988989,0.20042131261314308,0.8411510925750062,0.9998350115734302
Tub,20051.13623955448,0.04991981589832573,0.08880945117138019,0.5621002634279643,0.5740477088838972,0.9998350115734302
Tnfrsf25,105.56357819458015,0.015808763894994173,0.383649345958678,0.04120628397134527,0.9671314440446879,0.9998350115734302
Bloc1s5,1968.7953255657906,0.05466094313470943,0.10619090292233108,0.5147422390286002,0.6067331529559268,0.9998350115734302
Cyp2c23,31.25699089464949,-0.26181172689292875,0.5745062851087793,-0.45571603597575316,0.6485941890439779,0.9998350115734302
Pcnx4,5352.629099423962,0.012001397667355836,0.07754920148083534,0.15475849445492654,0.8770117135291141,0.9998350115734302
Naa30,5822.317034007044,-0.058196843116764575,0.07473319056208155,-0.7787282020084494,0.4361398394869802,0.9998350115734302
Sesn2,1974.0916493453321,-0.0275965948454445,0.09139139296739573,-0.30196054518273624,0.7626821401911594,0.9998350115734302
Gm4756,11.197514364093877,1.868160736017408,0.9083069232077468,2.056750519328723,0.03971022990913472,0.9998350115734302
Ndufa4l2,251.28442509795343,-0.055337745160193776,0.2001192732380908,-0.2765238163460448,0.7821457697029098,0.9998350115734302
Erlin1,3267.302759569979,0.0029629105970079258,0.0793476644929498,0.03734086713127122,0.970213220941136,0.9998350115734302
Tmem79,69.72446740551551,0.28436393485249606,0.40909067338615335,0.6951122412514062,0.48698496387384826,0.9998350115734302
Hapln4,17843.93005424752,-0.5001230486291462,0.09027440263397908,-5.540031659438543,3.024169691806157e-08,3.514085181878755e-05
Dhrs7,3086.267928493762,0.02816949476443987,0.10753226225839248,0.2619631929322806,0.7933498192569574,0.9998350115734302
Fam13c,6485.103102697768,0.04000214258998586,0.0752292816983344,0.5317363357315097,0.5949086220536232,0.9998350115734302
Gfra2,9007.203725539352,0.12316681835049227,0.06425873243372017,1.916732772118295,0.05527188956774711,0.9998350115734302
Pkhd1,11.58282417530156,-0.023183529259315487,0.8794528189322486,-0.026361310988192426,0.9789691527764328,0.9998350115734302
Slc14a2,66.90592904945163,-0.7523308703415192,0.557742202815666,-1.3488863968756635,0.1773734581902574,0.9998350115734302
Bcl2a1a,11.413606942464034,-0.679110759401991,1.1673203390821751,-0.5817689769167845,0.5607223031102575,0.9998350115734302
Ncan,42359.94534411658,-0.01071378168127321,0.08311326215643887,-0.1289058015928593,0.8974321859667108,0.9998350115734302
Eef1e1,2446.7328234323645,-0.11926608237782012,0.12449456356768203,-0.9580023332744211,0.33806158199527503,0.9998350115734302
Smim9,4.7897162732055945,0.3685587228032378,1.7922987498907397,0.20563464814429264,0.8370763105714596,0.9998350115734302
Scamp2,2293.7320507915797,0.06911060699022105,0.08988583018173205,0.7688709872345012,0.4419699022629352,0.9998350115734302
Hsd3b2,94.68472912643598,-0.6222324950666579,0.4672111419898325,-1.3318014900428017,0.18292542821184732,0.9998350115734302
Fgf13,18548.79544348579,-0.08255894058298248,0.06904944619654838,-1.195649568976694,0.2318333391099594,0.9998350115734302
Ppa2,3682.5953928452236,0.007531423546769398,0.08622681824236415,0.08734432860087987,0.9303978195066273,0.9998350115734302
Ppm1a,37641.163726739265,-0.024489249587929536,0.058445312363101215,-0.4190113560483004,0.6752078330095406,0.9998350115734302
Rfxank,1570.5300336826494,-0.09563709062740969,0.10316414924277258,-0.927038039177256,0.35390678448756774,0.9998350115734302
Mill2,301.90605541508245,-0.0452952018052314,0.1908072083737031,-0.23738726744808847,0.812356366571231,0.9998350115734302
Mef2c,91508.95895465177,-0.12747618845342407,0.10460463409308089,-1.2186476207162225,0.22297796637922707,0.9998350115734302
Teddm3,64.05540845118611,0.6556711833319899,0.39464065759263584,1.6614385028944496,0.09662541031038803,0.9998350115734302
Dipk1a,4064.693878357654,-0.05140843142312167,0.07516921715209314,-0.6839027113865608,0.49403660178901043,0.9998350115734302
Dnaja3,8956.770289891452,-0.053613239125904294,0.06442660347163866,-0.8321599500353215,0.4053186667066033,0.9998350115734302
Ube2o,20953.977862483942,0.0182560045277856,0.07967062910550865,0.2291434714743997,0.8187574068308933,0.9998350115734302
Fam76b,1561.9532836993067,-0.20256579168602262,0.13663992142332004,-1.4824788361701382,0.1382129308114825,0.9998350115734302
