,C1,C2,C3,KO1,KO2,KO3
Wdr55,1228,512,1382,1889,1121,1214
Prl8a9,0,0,0,0,0,0
Rtn4r,12718,4748,16023,15792,12423,12934
Bicd2,8304,4575,10268,12903,8857,10567
Or52x1,0,0,0,0,0,1
Pgp,13005,6297,15597,18705,13893,13532
Or56b34,0,0,0,0,0,0
Ccdc188,63,41,62,83,75,94
Ankrd22,10,13,45,15,8,27
Saxo2,329,135,388,529,321,377
H2-Ob,47,25,77,100,56,51
Dnd1,87,73,81,66,48,77
Rgs8,12162,6174,15833,18306,12699,14544
Mindy1,3078,1358,3862,4432,3237,3247
Kidins220,39586,17578,45278,55801,36192,46945
Zdhhc8,18515,7509,22327,25549,18369,22387
Or56b35,6,0,0,10,1,10
Stambpl1,1730,842,2047,2621,1685,1808
Etfbl,48,5,22,36,66,63
Hars,12046,5513,13122,16137,11226,13152
Or52b1,7,4,11,3,9,10
Abi3bp,1457,715,2172,2498,2579,2529
Sytl4,106,126,171,180,122,95
Or52b2,11,5,20,51,17,12
Axl,6729,3219,8030,9775,7614,7467
Cdk14,26300,11296,29935,37668,24123,28295
Sik2,2796,1572,3080,3386,2282,3520
Hmga2,36,30,62,69,44,39
H2-Ab1,176,100,283,413,357,261
Cmas,11223,5177,12818,16676,11721,12643
Nr1h4,14,4,18,11,43,18
Prl8a1,25,30,75,68,135,64
Golph3,12583,6179,13430,19268,13385,14395
Prl7b1,0,0,0,0,0,0
Reep1,20784,9967,23774,27387,20639,22545
Sdha,51662,23490,58094,73352,50774,55266
Acta2,1031,617,1284,1818,1313,1704
Hars2,2518,1288,2877,4060,2634,2994
Lhx8,139,160,170,346,205,298
Tmeff2,11738,5758,12782,15560,10512,11360
Mov10l1,0,6,4,0,2,1
Sult6b2,19,4,22,29,38,40
Uhrf1,229,150,399,375,242,287
Fas,151,37,182,168,108,154
Rgs16,1217,565,1661,1733,1100,1103
Mrpl35,2611,1549,4108,3703,2767,2591
Ippk,2387,1183,2963,3350,2436,2531
Vsig10l,283,161,314,355,347,280
Mapk10,46333,20404,54359,66145,44422,52027
St8sia1,6117,2738,7272,9240,5675,7689
Dock3,43611,16677,48704,56687,39823,53312
Cavin2,1460,559,1505,2310,1555,1438
Anxa9,33,19,57,73,24,38
Slc17a8,763,424,702,1011,655,787
Rnasel,1231,442,1591,1845,1307,1395
Id2,17661,7080,20398,28348,19689,18309
Ch25h,81,32,67,101,75,105
Iglon5,4179,1887,4242,5191,4338,4791
Lipa,2388,1379,3140,3646,2386,2351
Fscb,0,0,0,0,0,0
Cul1,16832,6960,18327,22909,16104,17553
Zmat2,18991,8165,20499,27376,19923,19080
Prl7a1,0,0,0,0,0,0
Gm527,398,205,470,617,416,563
Msrb3,897,411,1391,1484,978,1044
Malt1,428,235,508,678,533,602
Ocrl,7985,3849,9187,11364,7469,9577
Cyp2s1,670,339,694,1078,522,584
Ifit2,1500,529,1636,1967,1668,1580
Prl7a2,0,0,0,0,0,0
Tyw3,1354,552,1520,1921,1514,1508
Arfgef1,16845,7290,19059,23276,14531,19073
Togaram1,8511,3455,9079,11703,7690,9626
Scyl2,5259,2128,5649,7350,5044,5699
Ifit3,905,383,1199,1384,1183,866
Cenpp,112,50,116,129,103,98
Ifit1bl1,398,208,480,638,419,449
Panx2,12664,6129,15921,17333,12939,13590
Ifit3b,343,193,589,875,503,484
Majin,2,1,5,2,8,2
Fgf4,0,0,0,0,0,0
Pdzd2,10943,5485,11407,16683,11690,15350
Tes3-ps,56,18,25,107,84,76
Srek1,4231,2179,4855,6462,4569,5844
Efl1,1869,806,2197,2713,1934,2099
Ndst3,2367,1191,3029,3560,2205,3163
Ifit1bl2,94,58,120,197,111,72
Ifit1,310,121,437,504,473,307
Pex5,8364,3939,8914,10815,8027,9053
Gpha2,4,3,3,6,3,2
Lemd3,6748,2809,7355,9188,6589,7783
Trabd,2027,933,2303,2807,2025,1993
Ist1,8447,4137,9679,11944,8414,9592
Trim35,23046,10716,25679,31094,22483,24758
Slc16a12,539,259,659,720,543,575
Ppp2r5b,19068,9189,22604,27112,19787,21448
Layn,376,270,478,473,363,401
1700029H14Rik,0,0,0,0,1,2
Ccdc127,10530,4838,11781,14889,10001,11126
Stmn4,28853,11655,33078,39118,30991,26809
Btg4,2,0,7,0,7,5
Dock10,6135,2900,6712,7812,5262,6371
Mex3b,3257,1452,3161,4575,3287,3684
Actr6,1944,1053,2273,3063,2387,2110
Renbp,336,173,499,645,409,313
Sox11,2909,1271,3134,3314,2818,3411
Lrrc14b,0,3,0,0,0,0
Cyp2b10,2,5,0,24,9,0
Sla,1577,765,1832,2403,1709,2114
Zfp72,727,335,759,1122,677,751
Hoatz,11,12,12,50,18,28
Ecm2,530,293,759,984,644,549
Prpf39,2949,1659,3976,4826,3417,4317
Gm32742,20,19,15,50,16,27
Pank1,4201,1830,4685,5804,3912,4961
Pou2af1,10,4,10,31,11,18
Wif1,196,85,257,327,170,261
Mlst8,4662,2131,5586,6942,4904,5105
Prl7d1,3,0,3,1,0,4
Mapkapk3,337,220,398,453,484,377
Zfp821,3659,1726,4114,5069,4021,4213
Pcdha1,708,296,458,675,744,520
4931406B18Rik,2,7,5,23,1,10
Dock9,16965,7441,17815,20930,14210,20028
Ftl1-ps1,4242,162,5027,6722,4253,4241
Prl7c1,0,0,0,0,0,1
Mup14,2,0,0,2,0,0
Atg2a,6474,3170,7727,9145,6110,8296
Rasa3,10327,4693,12023,13830,10982,10935
Prl2a1,0,0,0,0,0,0
Tbc1d30,14705,5473,18168,20109,13980,17052
Aspn,121,106,153,224,169,182
Tram1l1,5203,2584,5976,7271,4845,5332
Cers2,7990,4003,9815,11109,6998,7522
Fkbp3,12995,6051,16109,20878,14857,14160
Fam118b,1852,917,2119,2724,1808,1725
Mup15,0,0,0,0,0,0
Pcdha2,1392,581,1041,1347,1049,1242
Zfp825,691,409,1006,1035,731,753
Selenoo,2774,1216,3515,4139,2986,2864
Prl2c1,0,0,0,0,0,0
Primpol,475,220,630,765,499,558
Mup16,0,0,8,0,0,0
Omd,425,100,521,811,410,428
Uhrf1bp1l,13757,5873,15214,19061,13162,15640
6030458C11Rik,6009,2551,5950,8846,5958,6517
Prl4a1,0,0,0,0,0,0
Tpra1,2430,1298,2929,3858,2515,2816
Ogn,1917,656,2395,3423,1711,1704
Mup17,0,0,0,0,0,0
Cyp2b13,0,0,0,0,0,0
Pcdha3,1476,642,1778,2179,1302,1855
Pcdha4,2230,943,2942,3568,2642,2955
Bcl11a,14231,5719,15362,18075,13473,15215
